x,y,stopDuration
-123.111809,49.206989,226.0
-123.111755,49.206963,945.0
-123.111786,49.206886,1101.063
-123.09079,49.210674,7.936
-123.102951,49.210701,12.936
-123.113213,49.207375,29.873
-123.111832,49.20919,353.063
-123.11319,49.207451,716.063
-123.11306,49.207294,63164.936
-123.155403,49.266483,221.0
-123.110069,49.211597,1582.0
-123.113213,49.207424,11.873
-123.113113,49.207321,62945.063
-123.104103,49.241013,1638.063
-123.103363,49.241959,272.0
-123.112114,49.206963,59510.0
-123.112144,49.206963,623.0
-123.112221,49.206936,832.0
-123.112396,49.208729,551.0
-123.112144,49.206989,1104.0
-123.113167,49.207451,267.936
-123.111755,49.207016,63051.063
-123.111908,49.207092,558.0
-123.111832,49.206936,396.0
-123.111885,49.206936,693.0
-123.111809,49.20686,203.0
-123.103027,49.210472,2015.936
-123.113266,49.207451,202.936
-123.112549,49.2075,63908.127
-123.112473,49.207554,2853.0
-123.140457,49.212799,378.127
-123.111755,49.207016,64092.0
-123.111832,49.206989,381.0
-123.111755,49.206913,1642.0
-123.11319,49.207424,247.936
-123.111732,49.207039,61402.0
-123.111732,49.206963,1342.063
-123.054512,49.290318,224.0
-123.113136,49.207397,69.873
-123.114243,49.209217,320.063
-123.113213,49.21019,277.063
-123.111656,49.207245,16.063
-123.155304,49.266483,230.0
-123.112244,49.206936,61589.063
-123.112907,49.207424,1098.0
-123.111862,49.209061,7429.063
-123.11306,49.209984,297.0
-123.113831,49.21006,2441.936
-123.113831,49.210213,657.937
-123.113808,49.21006,6634.0
-123.114548,49.211266,3655.127
-123.113754,49.21006,305.063
-123.113777,49.210239,274.0
-123.113853,49.210213,500.0
-123.11393,49.210163,639.0
-123.11393,49.210136,198.0
-123.113853,49.210472,243.937
-123.113754,49.210293,13306.0
-123.113777,49.209854,4352.936
-123.11409,49.209881,297.0
-123.11409,49.209881,582.063
-123.111809,49.207142,33104.063
-123.111862,49.207169,1458.127
-123.077248,49.276031,1470.0
-123.111732,49.206936,250.0
-123.111885,49.206886,320.0
-123.111702,49.206936,434.0
-123.11232,49.208961,384.127
-123.091202,49.206501,3544.127
-123.114288,49.207451,125.873
-123.112221,49.209599,1720.0
-123.111702,49.207142,60928.063
-123.175041,49.267635,237.0
-123.181847,49.268635,942.0
-123.113113,49.207424,2.0
-123.113495,49.207348,1010.0
-123.111984,49.207195,66074.0
-123.155434,49.266483,241.0
-123.166336,49.263336,387.063
-123.162727,49.254658,2745.127
-123.111786,49.209087,390.127
-123.114166,49.207397,262.063
-123.108276,49.212337,901.0
-123.112297,49.207195,60998.063
-123.111862,49.207039,253.0
-123.111832,49.20686,203.0
-123.111862,49.20686,297.0
-123.112579,49.207832,3009.127
-123.114525,49.210163,315.063
-123.111732,49.209446,13938.063
-123.111656,49.209599,14003.937
-123.112221,49.207474,33096.063
-123.102287,49.210548,440.0
-123.112961,49.207397,2229.0
-123.111809,49.209473,32176.127
-123.112244,49.20932,2092.0
-123.111755,49.209396,367.0
-123.111732,49.206963,845.0
-123.111755,49.206936,1248.063
-123.09156,49.210548,651.063
-123.113167,49.207424,453.063
-123.114395,49.207397,514.127
-123.111679,49.206936,1088.0
-123.111786,49.206963,507.127
-123.102158,49.210751,178.0
-123.182922,49.268505,2320.0
-123.113014,49.207424,424.063
-123.113495,49.207321,62450.063
-123.111656,49.206989,541.063
-123.128624,49.226597,2348.127
-123.110451,49.208679,417.063
-123.114449,49.210114,225.063
-123.113091,49.207424,16.063
-123.112297,49.207169,63854.063
-123.100189,49.212646,1055.0
-123.10067,49.21175,1050.127
-123.102158,49.211521,1209.063
-123.111885,49.20924,334.063
-123.111862,49.207092,67549.0
-123.113213,49.207424,2.126999
-123.114571,49.207527,391.063
-123.111885,49.209293,5.873
-123.111885,49.207039,67315.063
-123.095268,49.212799,3760.063
-123.113213,49.207451,222.936
-123.112419,49.208065,420.063
-123.174965,49.233818,400.0
-123.112885,49.207424,207.936
-123.112221,49.208679,24640.0
-123.111732,49.209217,4397.063
-123.111786,49.20924,1480.063
-123.11219,49.207451,31718.063
-123.112167,49.207451,992.0
-123.111862,49.206913,2485.0
-123.101234,49.232716,14.936
-123.110275,49.207527,314.0
-123.112015,49.209267,347.063
-123.113014,49.207451,46.936
-123.111626,49.206963,65476.0
-123.111786,49.206936,226.0
-123.111786,49.206886,293.0
-123.111786,49.206963,415.0
-123.111908,49.206886,603.063
-123.106659,49.210419,1024.0
-123.106461,49.212059,1338.0
-123.111885,49.209343,899.063
-123.113136,49.207577,423.063
-123.112061,49.207272,65464.0
-123.069489,49.262386,459.063
-123.113167,49.207397,45.873
-123.111885,49.207195,66728.126999
-123.111938,49.20924,271.063
-123.111679,49.207218,259.063
-123.111961,49.20681,819.063
-123.111809,49.20932,915.127
-123.11145,49.207066,1565.127
-123.182487,49.268581,1377.063
-123.179596,49.26825,658.063
-123.179749,49.266815,22.873
-123.114365,49.2075,237.0
-123.112221,49.207169,62146.063
-123.111656,49.206989,844.0
-123.111755,49.206886,238.0
-123.111885,49.206886,419.0
-123.111603,49.206963,198.0
-123.111702,49.207039,627.063
-123.122765,49.208473,212.0
-123.147293,49.226498,281.0
-123.128067,49.226574,2030.063
-123.113136,49.2075,2.126999
-123.114243,49.207451,219.063
-123.103081,49.21006,320.063
-123.111702,49.207066,67404.0
-123.102005,49.215923,2766.063
-123.111832,49.209087,403.063
-123.113113,49.207527,1.127
-123.111961,49.207169,5322.0
-123.084572,49.2491,383.0
-123.084694,49.249153,617.063
-123.088463,49.253246,943.063
-123.098061,49.243263,518.063
-123.114365,49.207375,228.936
-123.111832,49.207016,42309.937
-123.111786,49.206989,25.063
-123.038467,49.250252,211.0
-123.113014,49.207397,1003.063
